"drg","stateProvider","num_charges","mean_charge"
"064","HI",10,46547.842387
"064","IA",17,29660.3857805882
"064","ID",7,24608.8136985714
"064","IL",86,46334.8708583721
"064","IN",46,32232.0493795652
"064","KS",15,40322.3085313333
"064","KY",24,34826.63877125
"064","LA",27,48542.4513248148
"064","MA",39,26433.0781017949
"064","MD",37,17867.2596361892
"064","ME",8,28502.307405
"064","MI",58,30404.8719653448
"064","MN",20,34780.476385
"064","MO",42,38376.7209571429
"064","MS",19,41630.0328321053
"064","MT",5,23320.40658
"064","NC",53,30861.8898241509
"064","ND",6,24694.3150366667
"064","NE",10,37980.918069
"064","NH",9,27344.3834822222
"064","NJ",55,87041.6419229091
"064","NM",7,43181.4462428571
"064","NV",11,83959.9685536364
"064","NY",96,49598.0266058333
"064","OH",64,37135.5819709375
"064","OK",20,43328.3223975
"064","OR",16,36487.22208625
"064","PA",76,51392.0074364868
"064","RI",3,41211.7892433333
"064","SC",30,45123.7914273333
"064","SD",5,37796.328586
"064","TN",33,38829.05579
"064","TX",111,57015.4024359459
"064","UT",7,30102.7483057143
"064","VA",49,34581.0873467347
"064","VT",3,22194.6913966667
"064","WA",35,36409.0584545714
"064","WI",27,32587.9878503704
"064","WV",13,24633.9591461538
"064","WY",1,40289.27273
"065","AK",6,32629.3744183333
"065","AL",55,24317.1350641818
"065","AR",32,18588.4458709687
"065","AZ",38,31571.3743834211
"065","CA",204,52628.3800341176
"065","CO",27,31462.2253477778
"065","CT",26,26359.8269511538
"065","DC",7,37008.4240014286
"065","DE",5,22714.360742
"065","FL",138,38118.7122612319
"065","GA",75,25123.8611971067
"065","HI",11,28497.9431354545
"065","IA",26,18150.6784908846
"065","ID",9,16947.6042277778
"065","IL",102,30351.8870101863
"065","IN",63,22254.8692360317
"065","KS",22,26636.7086340909
"065","KY",37,21870.7691364865
"065","LA",37,26965.2173336216
"065","MA",51,17927.2053094118
"065","MD",42,10826.255061
"065","ME",16,16982.5220475
"065","MI",76,18443.6772860526
"065","MN",33,21918.1368078788
"065","MO",53,24320.3142073585
"065","MS",34,26084.4659116471
"065","MT",9,16642.1773833333
"065","NC",78,19782.2763247436
"065","ND",6,15261.9716766667
"065","NE",17,25337.2367064706
"065","NH",13,21421.3848746154
"065","NJ",59,59575.7387159322
"065","NM",13,29298.7728530769
"065","NV",13,47196.6120353846
"065","NY",120,29625.2847652917
"065","OH",93,23625.555688086
"065","OK",34,23441.1366355882
"065","OR",24,21124.946297625
"065","PA",110,32450.8439166909
"065","RI",9,22952.0421266667
"065","SC",40,28141.369144
"065","SD",7,19944.6684042857
"065","TN",48,24452.7941979167
"065","TX",161,34563.3681595031
"065","UT",8,20897.305985
"065","VA",62,22887.3558306452
"065","VT",5,16080.276484
"065","WA",39,26354.1504953846
"065","WI",50,21422.60433834
"065","WV",22,15427.7514548636
"065","WY",4,21785.8999575
"066","AK",4,25843.3279175
"066","AL",40,21130.76332415
"066","AR",28,15041.3517064286
"066","AZ",30,25945.6375423333
"066","CA",145,42299.6189962069
"066","CO",18,24989.4697483333
"066","CT",25,20631.79634704
"066","DC",6,29265.2632433333
"066","DE",5,16903.820902
"066","FL",121,29313.4817442975
"066","GA",55,20307.3681594545
"066","HI",10,22345.214482
"066","IA",20,15878.77727055
"066","ID",7,13070.1803671429
"066","IL",90,23830.9732895556
"066","IN",53,17542.5857665283
"066","KS",16,21773.359571875
"066","KY",27,18428.7030807037
"066","LA",30,19487.7354833333
"066","MA",42,15739.9701865714
"066","MD",38,8144.53146707895
"066","ME",9,12972.2777088889
"066","MI",61,15376.6669104426
"066","MN",26,19123.0723624615
"066","MO",43,20664.245962093
"066","MS",25,20268.7529168
"066","MT",8,11868.293570375
"066","NC",63,16302.9856882222
"066","ND",6,11126.048834
"066","NE",12,19107.760965
"066","NH",12,19211.1547075
"066","NJ",56,45819.1313107143
"066","NM",8,18984.6863525
"066","NV",11,34190.8648827273
"066","NY",92,22664.8906585761
"066","OH",72,20079.7036373472
"066","OK",25,18569.0577876
"066","OR",19,15375.0047631579
"066","PA",87,27439.4510115747
"066","RI",5,19580.554538
"066","SC",34,21381.6662623529
"066","SD",6,15407.3839078333
"066","TN",39,18563.7646737949
"066","TX",127,28023.2224652756
"066","UT",8,15196.67375625
"066","VA",51,18614.636680902
"066","VT",4,13845.6134775
"066","WA",38,21829.9982908947
"066","WI",33,17795.1320154545
"066","WV",14,13269.4650922857
"066","WY",2,18102.62217
"069","AK",2,19266.296055
"069","AL",48,17936.3954803333
"069","AR",24,14511.850186125
"069","AZ",30,24220.2008716667
"069","CA",149,37044.3622067114
"069","CO",24,23465.3703265417
"069","CT",25,17801.76371504
"069","DC",4,20395.420735
"069","DE",5,14829.174494
"069","FL",141,27596.2246258156
"069","GA",56,20275.3973626786
"069","HI",2,19450.91575
"069","IA",18,14928.0051527778
"069","ID",6,12533.5184766667
"069","IL",105,21159.6918071429
"069","IN",51,16340.2445873922
"069","KS",15,20476.5422503333
"069","KY",42,16274.5133339524
"069","LA",32,18601.0939260937
"069","MA",50,12929.52042682
"069","MD",39,7078.00295892308
"069","ME",10,11558.0821384
"069","MI",69,13142.8831344203
"069","MN",25,15582.35302692
"069","MO",46,18706.1146312391
"069","MS",30,17887.4157195667
"069","MT",4,11817.1687475
"069","NC",63,15046.7804518571
"069","ND",3,10747.2677833333
"069","NE",13,17188.7654961538
"069","NH",9,15446.0439577778
"069","NJ",61,41916.696062459
"069","NM",8,19462.70299125
"069","NV",10,32963.216652
"069","NY",123,18651.3718132683
"069","OH",90,17601.3400810667
"069","OK",32,15907.4317453125
"069","OR",14,14533.9255273571
"069","PA",104,23102.8084135
"069","RI",7,18108.8782604286
"069","SC",31,19779.8705577419
"069","SD",6,13770.9287765
"069","TN",46,17435.8187547609
"069","TX",139,26177.779422482
"069","UT",6,14362.3670583333
"069","VA",60,16394.4036313167
"069","VT",2,14188.63875
"069","WA",33,19666.9324469697
"069","WI",27,16954.0727625926
"069","WV",23,10955.8336745652
"074","AL",17,25716.808
"074","AR",7,16824.3937518571
"074","AZ",18,25481.5049688889
"074","CA",70,43620.981732
"074","CO",7,24193.0342857143
"074","CT",13,21001.7927792308
"074","DC",5,26662.120232
"074","DE",2,17422.24868
"074","FL",77,29914.9595428571
"074","GA",29,21091.5296855172
"074","IA",7,16945.1483814286
"074","ID",2,14720.13801
"074","IL",58,24093.5497012069
"074","IN",21,20557.1126466667
"074","KS",8,23608.79410625
"074","KY",14,17890.4563855714
"074","LA",12,23283.2252441667
"074","MA",35,13749.1875611714
"074","MD",29,8238.58302389655
"074","ME",6,14256.3866933333
"074","MI",40,16212.695024575
"074","MN",10,21264.997079
"074","MO",29,21562.2473914828
"074","MS",12,28580.763125
"074","MT",2,10017.8461515
"074","NC",36,17362.6554519444
"074","ND",1,12602.27273
"074","NE",3,26424.6805566667
"074","NH",4,14832.7910725
"074","NJ",41,42992.8101346341
"074","NM",2,19239.694735
"074","NV",7,45351.3110471429
"074","NY",64,24708.9701472344
"074","OH",53,18169.7745348302
"074","OK",11,27131.2247536364
"074","OR",2,20591.19643
"074","PA",48,31104.0186069167
"074","RI",4,20310.66818
"074","SC",17,25379.4961211765
"074","SD",3,22084.7569433333
"074","TN",21,25074.0611452381
"074","TX",70,29661.233757
"074","UT",1,32920.07692
"074","VA",26,19364.4358098462
"074","VT",1,20524.68421
"074","WA",14,24092.9934742857
"074","WI",12,18997.3736391667
"074","WV",8,12438.928747875
"101","AK",2,23156.088235
"101","AL",33,19729.8068759394
"101","AR",15,15167.0232150667
"101","AZ",27,24450.5895125926
"101","CA",134,37126.8717516418
"101","CO",16,23448.54242625
"101","CT",23,17746.2432234783
"101","DC",6,25716.24675
"101","DE",4,15134.951785
"101","FL",125,25531.46997984
"101","GA",50,19764.4537112
"101","HI",3,21506.6075033333
"101","IA",12,13612.51517
"101","ID",3,18462.3826233333
"101","IL",94,20071.3591731489
"101","IN",35,15054.9415974286
"101","KS",13,18707.3510961538
"101","KY",28,15746.2317771429
"101","LA",24,16911.804871125
"101","MA",47,11970.6205024043
"101","MD",40,7505.509091375
"101","ME",4,13186.571402
"101","MI",57,13346.3186988596
"101","MN",18,16859.9514936667
"101","MO",40,17752.91377395
"101","MS",25,18782.78479488
"101","MT",3,12926.21389
"101","NC",44,15967.6017110227
"101","ND",2,9545.2023815
"101","NE",11,17934.26464
"101","NH",8,16256.97424
"101","NJ",58,42314.1824367241
"101","NM",6,18469.5780033333
"101","NV",14,32346.1712714286
"101","NY",113,18834.4414773982
"101","OH",69,17236.8897175217
"101","OK",19,16975.7428546842
"101","OR",5,17529.87954
"101","PA",78,25161.9071360385
"101","RI",7,17158.2710942857
"101","SC",28,20575.50047825
"101","SD",3,17544.96032
"101","TN",29,17778.357807931
"101","TX",109,24988.0057366972
"101","UT",3,13496.8412723333
"101","VA",42,17104.8093557143
"101","VT",1,14469.54839
"101","WA",25,20038.03797476
"101","WI",20,16674.59715435
"101","WV",16,10410.0392065625
"101","WY",2,13755.549105
"149","AL",10,17406.8427783
"149","AR",1,9700
"149","AZ",20,21584.3561235
"149","CA",58,31230.5577424138
"149","CO",9,21096.6143955556
"149","CT",14,14648.4923192857
"149","DC",4,17583.1660825
"149","DE",3,13606.9694233333
"149","FL",93,23463.6795236559
"149","GA",17,16307.8079837059
"149","IA",8,12496.799077
"149","IL",74,18806.0522901351
"149","IN",29,14680.6545625172
"149","KS",6,15545.7331033333
"149","KY",16,13877.2676270625
"149","LA",6,16923.2534416667
"149","MA",40,11360.58982995
"149","MD",35,6072.10601202857
"149","ME",4,11335.48910225
"149","MI",39,12927.8750135385
"149","MN",11,15607.7150863636
"149","MO",29,16358.5150380345
"149","MS",7,16957.2905485714
"149","MT",1,11773.73684
"149","NC",29,14303.7486514483
"149","NE",5,16201.895046
"149","NH",2,14413.30769
"149","NJ",50,34915.5397016
"149","NM",1,17929.72222
"149","NV",10,27773.148034
"149","NY",97,15763.5281651031
"149","OH",56,15154.3790806429
"149","OK",10,13949.4035451
"149","OR",1,8653.75
"149","PA",59,21335.963791661
"149","RI",4,17702.232555
"149","SC",9,17530.3281011111
"149","SD",3,15012.18459
"149","TN",12,15155.4118858333
"149","TX",52,25103.6177792308
"149","UT",1,8738.363636
"149","VA",27,15397.4848264444
"149","WA",7,19943.8882171429
"149","WI",13,14296.1293436154
"149","WV",6,10571.7913705
"176","AK",1,35672.65385
"176","AL",31,25577.2194412903
"176","AR",17,18553.2323847059
"176","AZ",31,29698.6052441935
"176","CA",73,52302.4966273973
"176","CO",24,26779.7284479167
"176","CT",18,24699.3031327778
"176","DC",6,27309.4969333333
"176","DE",3,19843.26962
"176","FL",86,34577.0406404651
"176","GA",47,24644.8182244681
"176","HI",1,18937.61538
"176","IA",19,18255.4295347368
"176","ID",7,15094.4914414286
"176","IL",75,28185.1442542667
"176","IN",42,20463.4548438095
"176","KS",13,25764.3249107692
"176","KY",22,20171.1398863636
"176","LA",20,24900.1167865
"176","MA",35,15568.6716791143
"176","MD",37,10176.8631802973
"176","ME",6,17658.4624616667
"176","MI",50,19081.6212654
"176","MN",21,19464.4467542857
"176","MO",33,24420.5104460606
"176","MS",18,22613.5030588889
"176","MT",8,13602.57751625
"176","NC",57,18968.768655614
"176","ND",6,13570.20175
"176","NE",12,22563.9910083333
"176","NH",11,19901.7348136364
"176","NJ",36,58940.97849
"176","NM",4,21124.59091
"176","NV",12,45882.5997816667
"176","NY",61,28768.2969671639
"176","OH",63,22153.1148148571
"176","OK",18,22901.1151761111
"176","OR",12,17389.1412716667
"176","PA",65,33069.3661058462
"176","RI",4,24016.885415
"176","SC",26,28151.3688803846
"176","SD",8,19234.630385
"176","TN",39,21531.454174359
"176","TX",81,32769.5226820988
"176","UT",14,16189.4083642857
"176","VA",43,21929.3350130233
"176","VT",3,14455.8891466667
"176","WA",30,24467.28369
"176","WI",31,17802.2603719677
"176","WV",14,15737.7043657143
"176","WY",2,21128.96307
"177","AK",2,61224.641415
"177","AL",39,50001.2434346154
"177","AR",23,33602.0635133478
"177","AZ",31,59259.9259993548
"177","CA",172,99513.3815799419
"177","CO",21,54290.4218204762
"177","CT",31,36517.7539147419
"177","DC",3,56789.56384
"177","DE",5,32285.003478
"177","FL",125,66320.2367868
"177","GA",59,43533.7582894915
"177","HI",7,43565.0992242857
"177","IA",21,31328.9981085714
"177","ID",8,29821.8264225
"177","IL",86,50125.1411077907
"177","IN",48,36846.466679375
"177","KS",19,47203.5606126316
"177","KY",41,34898.9570580488
"177","LA",32,48996.2860515625
"177","MA",47,25549.1451638298
"177","MD",32,18021.8783485625
"177","ME",11,33050.9310945455
"177","MI",64,31120.9656117187
"177","MN",24,37339.2653695833
"177","MO",47,42402.6503770213
"177","MS",25,47769.7606612
"177","MT",8,25130.40592375
"177","NC",69,32540.6861304348
"177","ND",6,24980.5244916667
"177","NE",11,45479.2619218182
"177","NH",12,34225.3853075
"177","NJ",50,89473.0941936
"177","NM",7,37665.0109371429
"177","NV",8,91932.5628425
"177","NY",90,48455.2248972222
"177","OH",80,37375.928854625
"177","OK",26,45049.6140834615
"177","OR",12,37377.0564816667
"177","PA",98,53118.402529898
"177","RI",7,39727.9143457143
"177","SC",34,51931.3387541176
"177","SD",5,46744.724574
"177","TN",57,41446.8043825263
"177","TX",133,59164.7548897744
"177","UT",8,32502.8426825
"177","VA",56,35352.4487735714
"177","VT",4,29841.059105
"177","WA",38,40839.6685215789
"177","WI",32,33571.9498025
"177","WV",18,29899.9681433333
"177","WY",2,43275.73086
"178","AK",3,43348.45614
"178","AL",44,36156.2656977273
"178","AR",27,24168.9067869259
"178","AZ",31,38947.2873732258
"178","CA",164,68287.1622443293
"178","CO",21,40111.3137009524
"178","CT",28,26182.27246625
"178","DC",4,35056.8578825
"178","DE",4,23023.29068
"178","FL",115,47800.2522947826
"178","GA",62,30888.6124695161
"178","HI",8,33609.65824375
"178","IA",23,20991.7892821739
"178","ID",5,24365.623324
"178","IL",82,34872.1805886585
"178","IN",52,25741.1731273077
"178","KS",25,30574.3070648
"178","KY",48,24763.7273076042
"178","LA",42,33139.5136347619
"178","MA",48,17951.008881875
"178","MD",36,12892.6865195278
"178","ME",14,19107.4739614286
"178","MI",59,21517.6916164407
"178","MN",30,23325.423638
"178","MO",47,29405.8389880851
"178","MS",32,30721.25952
"178","MT",8,18597.40572875
"178","NC",66,23069.2936445455
"178","ND",5,16488.205786
"178","NE",13,33075.0961661538
"178","NH",12,23220.6825341667
"178","NJ",50,67440.1848538
"178","NM",9,31591.5833044444
"178","NV",9,74789.9390144444
"178","NY",101,31906.2727858515
"178","OH",75,25867.1386841333
"178","OK",31,30769.8200983871
"178","OR",13,25432.7936169231
"178","PA",87,39497.7063813103
"178","RI",10,27192.845179
"178","SC",30,35773.0255423333
"178","SD",7,27991.5593628571
"178","TN",61,27144.0150759016
"178","TX",150,41820.4401171533
"178","UT",10,21861.466263
"178","VA",56,25718.4688605357
"178","VT",4,20162.15532
"178","WA",36,27765.8857527778
"178","WI",35,23312.8749684571
"178","WV",19,19583.7105289474
"178","WY",2,28223.140625
"189","AK",3,45137.0973566667
"189","AL",43,34495.470309
"189","AR",26,23562.7556538077
"189","AZ",35,36817.5936114286
"189","CA",168,67155.5755638095
"189","CO",25,36869.4149988
"189","CT",28,29834.4662946429
"189","DC",5,37322.103842
"189","DE",6,23902.9632983333
"189","FL",131,43073.2665467939
"189","GA",71,27499.2638794366
"189","HI",4,38133.92309
"189","IA",23,23364.4042343478
"189","ID",8,20822.33588875
"189","IL",88,35282.0172434091
"189","IN",63,24451.2211195079
"189","KS",21,29941.06305
"189","KY",47,21734.3468948936
"189","LA",26,31780.9219265385
"189","MA",46,18951.01031
"189","MD",39,16461.1916007436
"189","ME",16,21344.785605625
"189","MI",71,22574.6639748873
"189","MN",31,25591.6406874194
"189","MO",58,29417.824477931
"189","MS",28,29876.2532982143
"189","MT",7,20714.2466585714
"189","NC",76,21561.2104705921
"189","ND",6,17008.0658933333
"189","NE",11,35210.1616681818
"189","NH",12,27458.4824725
"189","NJ",53,70947.9468415094
"189","NM",5,44393.627362
"189","NV",16,63654.87804125
"189","NY",111,31666.7832665405
"189","OH",99,26406.0480831717
"189","OK",32,28561.5828665625
"189","OR",19,25821.9582505263
"189","PA",95,37507.2603776737
"189","RI",5,31842.739294
"189","SC",41,30698.58025
"189","SD",4,27307.10169
"189","TN",65,26417.1339173846
"189","TX",145,41758.7980475655
"189","UT",8,25392.4161875
"189","VA",64,25059.24210375
"189","VT",4,20995.5314925
"189","WA",41,30496.9754603415
"189","WI",40,23673.861081025
"189","WV",23,17577.054923
"189","WY",4,23555.0855325
"190","AK",7,33169.6940942857
"190","AL",76,23758.8098763158
"190","AR",39,21169.1290735897
"190","AZ",46,32697.9649786957
"190","CA",215,56418.3326680465
"190","CO",32,31550.106683125
"190","CT",30,24763.8659856667
"190","DC",7,31877.3913942857
"190","DE",6,19402.218695
"190","FL",160,39675.544234375
"190","GA",89,24872.4901580899
"190","HI",9,28730.1832511111
"190","IA",28,19105.9203082143
"190","ID",10,18036.7599858
"190","IL",122,29531.2217357951
"190","IN",72,21655.1118291667
"190","KS",28,25081.2593060714
"190","KY",63,19546.5880726508
"190","LA",51,26966.2076122157
"190","MA",56,15834.1911955357
"190","MD",43,12015.4927162326
"190","ME",19,18397.8773631579
"190","MI",85,18655.3395430588
"190","MN",41,19867.6096860976
"190","MO",65,24884.8037986154
"190","MS",48,25563.7907471458
"190","MT",9,15853.4956022222
"190","NC",82,19438.5506214634
"190","ND",6,13419.90537
"190","NE",18,29607.3139311111
"190","NH",13,20342.3043630769
"190","NJ",63,63514.0901503175
"190","NM",18,28879.5891172222
"190","NV",19,48377.1799352632
"190","NY",144,26407.5173872847
"190","OH",114,22170.385937807
"190","OK",54,21704.9657239074
"190","OR",20,22673.0778865
"190","PA",125,33256.202584872
"190","RI",10,24011.039548
"190","SC",46,29236.9822631739
"190","SD",6,23313.1391333333
"190","TN",83,22553.5254394819
"190","TX",218,32788.1305355826
"190","UT",11,20494.7493172727
"190","VA",73,22147.5958545205
"190","VT",6,15914.7416516667
"190","WA",41,25158.490392439
"190","WI",52,19841.6674838462
"190","WV",31,14807.5746593871
"190","WY",4,23294.206645
"191","AK",6,21070.2169138333
"191","AL",77,19485.7873340779
"191","AR",41,16941.3167269756
"191","AZ",46,26268.562048913
"191","CA",207,46203.5781189372
"191","CO",32,24482.636337625
"191","CT",29,20107.7380843448
"191","DC",7,26243.5609985714
"191","DE",5,18278.23646
"191","FL",159,31662.2589758239
"191","GA",90,19591.5290796889
"191","HI",6,24166.4749616667
"191","IA",29,15823.8547389655
"191","ID",8,14603.58107875
"191","IL",122,23784.5566400902
"191","IN",74,17627.0119542838
"191","KS",29,20191.8923717241
"191","KY",64,16199.5805808594
"191","LA",59,20376.0599175593
"191","MA",56,12533.0335131071
"191","MD",43,9048.75738337209
"191","ME",20,14422.4813057
"191","MI",82,15264.9123324634
"191","MN",38,16058.2443779211
"191","MO",68,19959.5467969853
"191","MS",50,19695.03922208
"191","MT",9,12726.1036841111
"191","NC",79,16163.095697519
"191","ND",6,11241.394115
"191","NE",18,22668.1221755556
"191","NH",13,17170.6893946154
"191","NJ",62,51094.9751532258
"191","NM",16,23691.133190625
"191","NV",19,39268.3406715789
"191","NY",148,20327.2792037568
"191","OH",117,17892.1559881282
"191","OK",58,17411.6238761552
"191","OR",24,18283.4983
"191","PA",130,25834.6668931538
"191","RI",10,19675.761999
"191","SC",45,23824.8128179111
"191","SD",7,16268.121486
"191","TN",87,17921.4073397586
"191","TX",215,27831.0148519488
"191","UT",8,16303.01028625
"191","VA",70,17999.6443444571
"191","VT",6,13246.2760783333
"191","WA",40,20136.362743
"191","WI",53,15990.1004772075
"191","WV",29,12467.6751545517
"191","WY",4,18023.35552
"192","AK",6,17648.6490095
"192","AL",84,14706.2204075833
"192","AR",41,13370.8371854146
"192","AZ",43,19770.2485437442
"192","CA",178,35480.5000544944
"192","CO",29,18867.3767767241
"192","CT",25,15771.02166252
"192","DC",6,18347.4735366667
"192","DE",5,12493.3353482
"192","FL",160,23500.8435179125
"192","GA",92,14820.320699337
"192","HI",7,19437.1853985714
"192","IA",29,12198.1925623793
"192","ID",7,10705.7682422857
"192","IL",123,17874.9481810488
"192","IN",74,13772.3382908514
"192","KS",33,15382.692923
"192","KY",65,12384.7056566154
"192","LA",60,14829.2397383
"192","MA",55,9708.19071036364
"192","MD",42,6940.50901561905
"192","ME",19,11542.5787035263
"192","MI",80,11656.4793645875
"192","MN",29,12933.8715733448
"192","MO",67,15420.5840689701
"192","MS",53,15553.7686201321
"192","MT",10,10185.6748731
"192","NC",77,12727.7059475844
"192","ND",4,9265.1954735
"192","NE",18,17902.1541577778
"192","NH",13,13946.17213
"192","NJ",60,39556.3064681667
"192","NM",23,15287.9896958261
"192","NV",19,28918.19746
"192","NY",145,15446.4130495655
"192","OH",116,13623.5465386379
"192","OK",59,13860.4384114237
"192","OR",19,14151.2799594211
"192","PA",132,19267.4737910985
"192","RI",9,15356.5142911111
"192","SC",46,17804.3288403043
"192","SD",10,12403.2436463
"192","TN",86,14205.3740607791
"192","TX",217,21094.9216130691
"192","UT",6,12050.2581498333
"192","VA",70,14130.5611460857
"192","VT",6,10160.3585935
"192","WA",38,16106.9492989474
"192","WI",38,13676.3351973421
"192","WV",31,9616.42856190323
"192","WY",7,13819.8883457143
"193","AK",6,46590.7769733333
"193","AL",63,34740.1583474127
"193","AR",33,31034.0090475758
"193","AZ",45,38456.9864364444
"193","CA",214,70253.3112484112
"193","CO",34,36174.4999073529
"193","CT",29,30718.9471527586
"193","DC",7,39321.69834
"193","DE",5,24033.568294
"193","FL",154,50896.305152013
"193","GA",85,31414.7805957647
"193","HI",9,33981.7958
"193","IA",28,24024.0526807143
"193","ID",9,24127.9827666667
"193","IL",114,38212.2181072807
"193","IN",68,28430.8395651471
"193","KS",29,33957.2050658621
"193","KY",55,26519.1233558182
"193","LA",48,35850.3646008333
"193","MA",52,20545.9947530769
"193","MD",40,14595.85696075
"193","ME",18,23021.6797183333
"193","MI",80,22647.0796779125
"193","MN",37,25098.8348710811
"193","MO",63,32874.2905187302
"193","MS",41,35527.4753402439
"193","MT",9,21263.1180322222
"193","NC",81,25422.7044128395
"193","ND",6,18811.9799016667
"193","NE",18,36678.5905394444
"193","NH",13,27317.7332261538
"193","NJ",61,73605.4327473771
"193","NM",19,32876.1653026316
"193","NV",19,69270.4216131579
"193","NY",136,33701.7659831765
"193","OH",112,28023.3961341964
"193","OK",40,31941.7877995
"193","OR",22,27492.0021404545
"193","PA",123,39796.6608315285
"193","RI",10,30785.494149
"193","SC",45,39415.8209184444
"193","SD",7,25887.2814671429
"193","TN",76,30699.6802390526
"193","TX",195,43464.5210157333
"193","UT",15,22838.0092273333
"193","VA",71,27522.9965511268
"193","VT",5,19180.12283
"193","WA",40,31044.82994525
"193","WI",56,25022.7941633929
"193","WV",28,20450.4005646429
"193","WY",2,36741.553115
"194","AK",8,23996.7013435
"194","AL",83,21155.1065426145
"194","AR",43,19415.0703204419
"194","AZ",53,26476.8602671887
"194","CA",248,45776.798483871
"194","CO",39,24773.7065110256
"194","CT",31,19902.1537724516
"194","DC",7,29809.4531428571
"194","DE",6,18106.2052366667
"194","FL",163,33836.1936082331
"194","GA",100,21593.52472587
"194","HI",13,22632.1668915385
"194","IA",33,15613.5099754545
"194","ID",10,15240.65306
"194","IL",124,25363.0868059758
"194","IN",78,19802.5012907692
"194","KS",43,20350.8292403721
"194","KY",64,17889.7572977344
"194","LA",66,22814.1509987273
"194","MA",57,13320.0589328596
"194","MD",44,9886.99384293182
"194","ME",19,15870.0231915789
"194","MI",89,15411.134205764
"194","MN",50,16605.8389522
"194","MO",74,21636.5862545
"194","MS",58,21997.4031078103
"194","MT",11,13612.3931881818
"194","NC",82,17620.5483570854
"194","ND",7,12015.2705014286
"194","NE",18,24138.161355
"194","NH",13,18174.08008
"194","NJ",64,53212.282094375
"194","NM",30,20876.7362747667
"194","NV",20,42420.408342
"194","NY",156,21318.403570609
"194","OH",123,18443.0194382602
"194","OK",70,18407.3512721143
"194","OR",29,17872.935332069
"194","PA",137,26829.0115862774
"194","RI",10,19636.723186
"194","SC",51,25740.5006368627
"194","SD",10,18524.146457
